"REF_DATE","GEO","DGUID","Type of vehicle","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Total, vehicle registrations","Number","223","units ","0","v1456733","1.1","23637104","","","","0"
"1999","Canada","2016A000011124","Total, road motor vehicle registrations","Number","223","units ","0","v1456734","1.2","17534315","","","","0"
"1999","Canada","2016A000011124","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456735","1.3","16538054","","","","0"
"1999","Canada","2016A000011124","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456736","1.4","386804","","","","0"
"1999","Canada","2016A000011124","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456737","1.5","262326","","","","0"
"1999","Canada","2016A000011124","Buses","Number","223","units ","0","v1456738","1.6","73174","","","","0"
"1999","Canada","2016A000011124","Motorcycles and mopeds","Number","223","units ","0","v1456739","1.7","273957","","","","0"
"1999","Canada","2016A000011124","Trailers","Number","223","units ","0","v1456740","1.8","4145299","","","","0"
"1999","Canada","2016A000011124","Off-road, construction, farm vehicles","Number","223","units ","0","v1456741","1.9","1957490","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Total, vehicle registrations","Number","223","units ","0","v1456742","2.1","367069","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Total, road motor vehicle registrations","Number","223","units ","0","v1456743","2.2","252349","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456744","2.3","240212","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456745","2.4","4056","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456746","2.5","2973","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Buses","Number","223","units ","0","v1456747","2.6","1379","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Motorcycles and mopeds","Number","223","units ","0","v1456748","2.7","3729","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Trailers","Number","223","units ","0","v1456749","2.8","24276","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Off-road, construction, farm vehicles","Number","223","units ","0","v1456750","2.9","90445","","","","0"
"1999","Prince Edward Island","2016A000211","Total, vehicle registrations","Number","223","units ","0","v1456751","3.1","86546","","","","0"
"1999","Prince Edward Island","2016A000211","Total, road motor vehicle registrations","Number","223","units ","0","v1456752","3.2","76307","","","","0"
"1999","Prince Edward Island","2016A000211","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456753","3.3","70600","","","","0"
"1999","Prince Edward Island","2016A000211","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456754","3.4","2094","","","","0"
"1999","Prince Edward Island","2016A000211","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456755","3.5","2515","","","","0"
"1999","Prince Edward Island","2016A000211","Buses","Number","223","units ","0","v1456756","3.6","51","","","","0"
"1999","Prince Edward Island","2016A000211","Motorcycles and mopeds","Number","223","units ","0","v1456757","3.7","1047","","","","0"
"1999","Prince Edward Island","2016A000211","Trailers","Number","223","units ","0","v1456758","3.8","8399","","","","0"
"1999","Prince Edward Island","2016A000211","Off-road, construction, farm vehicles","Number","223","units ","0","v1456759","3.9","1840","","","","0"
"1999","Nova Scotia","2016A000212","Total, vehicle registrations","Number","223","units ","0","v1456760","4.1","593727","","","","0"
"1999","Nova Scotia","2016A000212","Total, road motor vehicle registrations","Number","223","units ","0","v1456761","4.2","525382","","","","0"
"1999","Nova Scotia","2016A000212","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456762","4.3","499193","","","","0"
"1999","Nova Scotia","2016A000212","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456763","4.4","9453","","","","0"
"1999","Nova Scotia","2016A000212","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456764","4.5","6838","","","","0"
"1999","Nova Scotia","2016A000212","Buses","Number","223","units ","0","v1456765","4.6","1814","","","","0"
"1999","Nova Scotia","2016A000212","Motorcycles and mopeds","Number","223","units ","0","v1456766","4.7","8084","","","","0"
"1999","Nova Scotia","2016A000212","Trailers","Number","223","units ","0","v1456767","4.8","43042","","","","0"
"1999","Nova Scotia","2016A000212","Off-road, construction, farm vehicles","Number","223","units ","0","v1456768","4.9","25304","","","","0"
"1999","New Brunswick","2016A000213","Total, vehicle registrations","Number","223","units ","0","v1456769","5.1","542631","","","","0"
"1999","New Brunswick","2016A000213","Total, road motor vehicle registrations","Number","223","units ","0","v1456770","5.2","446074","","","","0"
"1999","New Brunswick","2016A000213","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456771","5.3","421796","","","","0"
"1999","New Brunswick","2016A000213","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456772","5.4","9417","","","","0"
"1999","New Brunswick","2016A000213","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456773","5.5","4520","","","","0"
"1999","New Brunswick","2016A000213","Buses","Number","223","units ","0","v1456774","5.6","2499","","","","0"
"1999","New Brunswick","2016A000213","Motorcycles and mopeds","Number","223","units ","0","v1456775","5.7","7842","","","","0"
"1999","New Brunswick","2016A000213","Trailers","Number","223","units ","0","v1456776","5.8","56000","","","","0"
"1999","New Brunswick","2016A000213","Off-road, construction, farm vehicles","Number","223","units ","0","v1456777","5.9","40558","","","","0"
"1999","Quebec","2016A000224","Total, vehicle registrations","Number","223","units ","0","v1456778","6.1","6166005","","","","0"
"1999","Quebec","2016A000224","Total, road motor vehicle registrations","Number","223","units ","0","v1456779","6.2","4063717","","","","0"
"1999","Quebec","2016A000224","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456780","6.3","3843729","","","","0"
"1999","Quebec","2016A000224","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456781","6.4","57909","","","","0"
"1999","Quebec","2016A000224","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456782","6.5","32770","","","","0"
"1999","Quebec","2016A000224","Buses","Number","223","units ","0","v1456783","6.6","16618","","","","0"
"1999","Quebec","2016A000224","Motorcycles and mopeds","Number","223","units ","0","v1456784","6.7","112691","","","","0"
"1999","Quebec","2016A000224","Trailers","Number","223","units ","0","v1456785","6.8","1022112","","","","0"
"1999","Quebec","2016A000224","Off-road, construction, farm vehicles","Number","223","units ","0","v1456786","6.9","1080177","","","","0"
"1999","Ontario","2016A000235","Total, vehicle registrations","Number","223","units ","0","v1456787","7.1","8878036","","","","0"
"1999","Ontario","2016A000235","Total, road motor vehicle registrations","Number","223","units ","0","v1456788","7.2","6448800","","","","0"
"1999","Ontario","2016A000235","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456789","7.3","6174461","","","","0"
"1999","Ontario","2016A000235","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456790","7.4","77325","","","","0"
"1999","Ontario","2016A000235","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456791","7.5","98608","","","","0"
"1999","Ontario","2016A000235","Buses","Number","223","units ","0","v1456792","7.6","23791","","","","0"
"1999","Ontario","2016A000235","Motorcycles and mopeds","Number","223","units ","0","v1456793","7.7","74615","","","","0"
"1999","Ontario","2016A000235","Trailers","Number","223","units ","0","v1456794","7.8","1887996","","","","0"
"1999","Ontario","2016A000235","Off-road, construction, farm vehicles","Number","223","units ","0","v1456795","7.9","541240","","","","0"
"1999","Manitoba","2016A000246","Total, vehicle registrations","Number","223","units ","0","v1456796","8.1","761431","","","","0"
"1999","Manitoba","2016A000246","Total, road motor vehicle registrations","Number","223","units ","0","v1456797","8.2","594157","","","","0"
"1999","Manitoba","2016A000246","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456798","8.3","566581","","","","0"
"1999","Manitoba","2016A000246","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456799","8.4","9889","","","","0"
"1999","Manitoba","2016A000246","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456800","8.5","11053","","","","0"
"1999","Manitoba","2016A000246","Buses","Number","223","units ","0","v1456801","8.6","3343","","","","0"
"1999","Manitoba","2016A000246","Motorcycles and mopeds","Number","223","units ","0","v1456802","8.7","3291","","","","0"
"1999","Manitoba","2016A000246","Trailers","Number","223","units ","0","v1456803","8.8","88189","","","","0"
"1999","Manitoba","2016A000246","Off-road, construction, farm vehicles","Number","223","units ","0","v1456804","8.9","79085","","","","0"
"1999","Saskatchewan","2016A000247","Total, vehicle registrations","Number","223","units ","0","v1456805","9.1","800445","","","","0"
"1999","Saskatchewan","2016A000247","Total, road motor vehicle registrations","Number","223","units ","0","v1456806","9.2","694236","","","","0"
"1999","Saskatchewan","2016A000247","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456807","9.3","615965","","","","0"
"1999","Saskatchewan","2016A000247","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456808","9.4","47481","","","","0"
"1999","Saskatchewan","2016A000247","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456809","9.5","22149","","","","0"
"1999","Saskatchewan","2016A000247","Buses","Number","223","units ","0","v1456810","9.6","3853","","","","0"
"1999","Saskatchewan","2016A000247","Motorcycles and mopeds","Number","223","units ","0","v1456811","9.7","4788","","","","0"
"1999","Saskatchewan","2016A000247","Trailers","Number","223","units ","0","v1456812","9.8","99605","","","","0"
"1999","Saskatchewan","2016A000247","Off-road, construction, farm vehicles","Number","223","units ","0","v1456813","9.9","6605","","","","0"
"1999","Alberta","2016A000248","Total, vehicle registrations","Number","223","units ","0","v1456814","10.1","2813857","","","","0"
"1999","Alberta","2016A000248","Total, road motor vehicle registrations","Number","223","units ","0","v1456815","10.2","2095338","","","","0"
"1999","Alberta","2016A000248","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456816","10.3","1878151","","","","0"
"1999","Alberta","2016A000248","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456817","10.4","109683","","","","0"
"1999","Alberta","2016A000248","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456818","10.5","61907","","","","0"
"1999","Alberta","2016A000248","Buses","Number","223","units ","0","v1456819","10.6","11509","","","","0"
"1999","Alberta","2016A000248","Motorcycles and mopeds","Number","223","units ","0","v1456820","10.7","34088","","","","0"
"1999","Alberta","2016A000248","Trailers","Number","223","units ","0","v1456821","10.8","654803","","","","0"
"1999","Alberta","2016A000248","Off-road, construction, farm vehicles","Number","223","units ","0","v1456822","10.9","63717","","","","0"
"1999","British Columbia","2016A000259","Total, vehicle registrations","Number","223","units ","0","v1456823","11.1","2568823","","","","0"
"1999","British Columbia","2016A000259","Total, road motor vehicle registrations","Number","223","units ","0","v1456824","11.2","2291567","","","","0"
"1999","British Columbia","2016A000259","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456825","11.3","2185877","","","","0"
"1999","British Columbia","2016A000259","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456826","11.4","57415","","","","0"
"1999","British Columbia","2016A000259","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456827","11.5","17286","","","","0"
"1999","British Columbia","2016A000259","Buses","Number","223","units ","0","v1456828","11.6","8007","","","","0"
"1999","British Columbia","2016A000259","Motorcycles and mopeds","Number","223","units ","0","v1456829","11.7","22982","","","","0"
"1999","British Columbia","2016A000259","Trailers","Number","223","units ","0","v1456830","11.8","251923","","","","0"
"1999","British Columbia","2016A000259","Off-road, construction, farm vehicles","Number","223","units ","0","v1456831","11.9","25333","","","","0"
"1999","Yukon","2016A000260","Total, vehicle registrations","Number","223","units ","0","v1456832","12.1","32330","","","","0"
"1999","Yukon","2016A000260","Total, road motor vehicle registrations","Number","223","units ","0","v1456833","12.2","25435","","","","0"
"1999","Yukon","2016A000260","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456834","12.3","22488","","","","0"
"1999","Yukon","2016A000260","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456835","12.4","1316","","","","0"
"1999","Yukon","2016A000260","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456836","12.5","924","","","","0"
"1999","Yukon","2016A000260","Buses","Number","223","units ","0","v1456837","12.6","234","","","","0"
"1999","Yukon","2016A000260","Motorcycles and mopeds","Number","223","units ","0","v1456838","12.7","473","","","","0"
"1999","Yukon","2016A000260","Trailers","Number","223","units ","0","v1456839","12.8","6087","","","","0"
"1999","Yukon","2016A000260","Off-road, construction, farm vehicles","Number","223","units ","0","v1456840","12.9","807","","","","0"
"1999","Northwest Territories","2016A000261","Total, vehicle registrations","Number","223","units ","0","v1456841","13.1","22255","","","","0"
"1999","Northwest Territories","2016A000261","Total, road motor vehicle registrations","Number","223","units ","0","v1456842","13.2","18453","","","","0"
"1999","Northwest Territories","2016A000261","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456843","13.3","16896","","","","0"
"1999","Northwest Territories","2016A000261","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456844","13.4","504","","","","0"
"1999","Northwest Territories","2016A000261","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456845","13.5","682","","","","0"
"1999","Northwest Territories","2016A000261","Buses","Number","223","units ","0","v1456846","13.6","65","","","","0"
"1999","Northwest Territories","2016A000261","Motorcycles and mopeds","Number","223","units ","0","v1456847","13.7","306","","","","0"
"1999","Northwest Territories","2016A000261","Trailers","Number","223","units ","0","v1456848","13.8","2799","","","","0"
"1999","Northwest Territories","2016A000261","Off-road, construction, farm vehicles","Number","223","units ","0","v1456849","13.9","1003","","","","0"
"1999","Nunavut","2016A000262","Total, vehicle registrations","Number","223","units ","0","v1456850","14.1","3948","","","","0"
"1999","Nunavut","2016A000262","Total, road motor vehicle registrations","Number","223","units ","0","v1456851","14.2","2501","","","","0"
"1999","Nunavut","2016A000262","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456852","14.3","2105","","","","0"
"1999","Nunavut","2016A000262","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456853","14.4","262","","","","0"
"1999","Nunavut","2016A000262","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456854","14.5","101","","","","0"
"1999","Nunavut","2016A000262","Buses","Number","223","units ","0","v1456855","14.6","11","","","","0"
"1999","Nunavut","2016A000262","Motorcycles and mopeds","Number","223","units ","0","v1456856","14.7","22","","","","0"
"1999","Nunavut","2016A000262","Trailers","Number","223","units ","0","v1456857","14.8","70","","","","0"
"1999","Nunavut","2016A000262","Off-road, construction, farm vehicles","Number","223","units ","0","v1456858","14.9","1378","","","","0"
"2000","Canada","2016A000011124","Total, vehicle registrations","Number","223","units ","0","v1456733","1.1","23627414","","r","","0"
"2000","Canada","2016A000011124","Total, road motor vehicle registrations","Number","223","units ","0","v1456734","1.2","17882229","","r","","0"
"2000","Canada","2016A000011124","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456735","1.3","16832180","","r","","0"
"2000","Canada","2016A000011124","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456736","1.4","391285","","r","","0"
"2000","Canada","2016A000011124","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456737","1.5","270148","","r","","0"
"2000","Canada","2016A000011124","Buses","Number","223","units ","0","v1456738","1.6","77341","","r","","0"
